Urun_Ad,Marka,Seri,Urun_URL,SSD,Islemci_Turu,Islemci_Nesli,Islemci_Modeli,Islemci_Cekirdek_Sayisi,Islemci_Hizi,Ekran_Kart,Ekran_Karti_Modeli,Ekran_Karti_Tipi,Ekran_Karti_Hafizasi,RAM,RAM_Frekans,Ram_Turu,Cozunurluk_Format,Ekran_Boyutu,Ekran_Cozunurlugu,Ekran_Yenileme_Hizi,Panel_Tipi,Isletim_Sistemi,Agirlik,Pil_Gucu,Fiyat,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
"Acer Aspire 3 A315-510-38HU NX.KDHEY.001 i3-N305 8 GB 256 GB SSD UHD Graphics 15.6"" Full HD Notebook",Acer,Acer Aspire 3,"https//www.akakce.com/laptop-notebook/en-ucuz-acer-aspire-3-a315-510-nx-kdhey-001-i3-n305-8-gb-256-gb-ssd-uhd-graphics-15-6-full-hd-notebook-fiyati,71601334.html",256 GB,Intel Core i3,,i3-N305,8.0,3.80 GHz,Intel,UHD Graphics,Paylaşımlı,6 GB,8 GB,3200 MHz,LPDDR5,Full HD,15.6 inç,1920x1080 px,60 Hz,IPS,Windows 11 Home,1.78,40 Wh,12.499,8.1032715,3.9717383,13.554263,0.0,0.0,9.755131,0.0,8.445375,9.359369,4.38931,10.396371,4.3407273,6.804507,6.450933,17.581264,4.3872004,5.839941,11.182443,6.6714993,0.0,1.7080811,3.2882884,14.50778,2.8057072,7.4098935,1.926277,10.051593,2.0331883,1.1553487,1.6237243,4.8306456,9.2006855
"Asus VivoBook 15 X1502ZA-EJ922 i5-1235U 8 GB 256 GB SSD Iris Xe Graphics 15.6"" Full HD Notebook",Asus,Asus Vivobook,"https//www.akakce.com/laptop-notebook/en-ucuz-asus-vivobook-15-x1502za-ej922-i5-1235u-8-gb-256-gb-ssd-iris-xe-graphics-15-6-full-hd-notebook-fiyati,267892925.html",256 GB,Intel Core i5,12. Nesil,i5-1235U,10.0,3.3 GHz,Intel,Iris Xe Graphics,Paylaşımlı,6 GB,8 GB,3200 MHz,DDR4,Full HD,15.6 inç,1920x1080 px,144 Hz,IPS,Free Dos,1.7,42 Wh,18.899,8.507568,4.5373044,16.462973,0.0,7.180845,8.354491,0.0,6.8676777,9.571263,2.4206796,9.662454,5.0409703,8.44108,3.9578218,9.776972,6.2434964,4.281004,11.942553,3.1184042,0.0,2.740374,7.2091413,10.672269,7.7632318,6.4890666,2.288739,8.102102,3.0960283,9.812312,3.4041297,0.17327066,2.35188
"HP 15-FD0006NT 86N54EA i5-1335U 16 GB 512 GB SSD Iris Xe Graphics 15.6"" Full HD Notebook",HP,HP 15-FD0006NT,"https//www.akakce.com/laptop-notebook/en-ucuz-hp-15-fd0006nt-86n54ea-i5-1335u-16-gb-512-gb-ssd-iris-xe-graphics-15-6-full-hd-notebook-fiyati,293975206.html",512 GB,Intel Core i5,13. Nesil,i5-1335U,10.0,3.40 GHz,Intel,Iris Xe Graphics,Paylaşımlı,6 GB,16 GB,3200 MHz,DDR4,Full HD,15.6 inç,1920x1080 px,144 Hz,IPS,Windows 11 Home,1.59,60 Wh,29.999,9.470855,7.463744,12.421052,0.0,3.1075962,9.751873,0.0,1.3056692,7.2028255,3.3666868,10.748303,1.622496,8.322836,4.8254004,7.4128723,6.13913,5.0254683,7.162721,9.027772,0.0,4.9950113,5.0507665,5.174925,5.1913667,6.0390997,6.1969213,9.17123,3.9915924,11.864032,4.6640043,2.2589962,2.771506
"Lenovo V15 G3 IAP 82TT00H8TX i3-1215U 8 GB 256 GB SSD UHD Graphics 15.6"" Full HD Notebook",Lenovo,Lenovo V15,"https//www.akakce.com/laptop-notebook/en-ucuz-lenovo-v15-g3-iap-82tt00h8tx-i3-1215u-8-gb-256-gb-ssd-uhd-graphics-15-6-full-hd-notebook-fiyati,320620568.html",256 GB,Intel Core i3,12. Nesil,i3-1215U,6.0,3.3 GHz,Intel,UHD Graphics,Paylaşımlı,6 GB,8 GB,3200 MHz,DDR4,Full HD,15.6 inç,1920x1080 px,144 Hz,TN,Free Dos,1.7,38 Wh,13.715,2.829941,1.6084546,17.815954,0.0,2.596486,5.217116,0.0,7.5905294,9.557958,4.6975007,11.02539,9.195804,9.45683,4.6306486,11.818667,3.496409,3.084197,13.09249,1.1269023,0.0,3.235108,4.099505,11.809118,6.0853157,7.8045654,0.738439,10.522149,6.636732,8.252797,7.6327214,0.5794091,7.763488
"HP EliteBook 845 G9 5Z6L9EA Ryzen 5 6600U 8 GB 256 GB SSD Radeon Graphics 14"" WUXGA Notebook",HP,HP Elitebook,"https//www.akakce.com/laptop-notebook/en-ucuz-hp-elitebook-845-g9-5z6l9ea-ryzen-5-6600u-8-gb-256-gb-ssd-radeon-graphics-14-wuxga-notebook-fiyati,353718002.html",256 GB,AMD Ryzen 5,,6600U,6.0,2.90 GHz,AMD,Radeon Graphics,Paylaşımlı,6 GB,8 GB,4800 MHz,DDR5,WUXGA,14 inç,1920x1200 px,144 Hz,IPS,Windows 11 Professional,1.4,60 Wh,28.614,8.913171,3.8674533,8.593571,0.0,0.2426433,9.924983,0.0,4.437699,5.178214,10.50184,14.338634,4.422539,0.6175804,2.6980858,10.199619,2.4419575,2.7365618,4.473733,6.7867785,0.0,5.093149,13.100835,14.30091,3.685643,0.954274,4.5525703,7.146068,3.6159587,3.7024305,0.6008646,8.576541,6.1448126
"HP ProBook 440 G10 85C59EA i5-1335U 16 GB 512 GB SSD Iris Xe Graphics 14"" Full HD Notebook",HP,HP ProBook,"https//www.akakce.com/laptop-notebook/en-ucuz-hp-probook-440-g10-85c59ea-i5-1335u-16-gb-512-gb-ssd-iris-xe-graphics-14-full-hd-notebook-fiyati,354459706.html",512 GB,Intel Core i5,13. Nesil,i5-1335U,10.0,3.40 GHz,Intel,Iris Xe Graphics,Paylaşımlı,6 GB,16 GB,3200 MHz,DDR4,Full HD,14 inç,1920x1080 px,144 Hz,IPS,Free Dos,1.38,60 Wh,33.532,8.410251,8.608923,13.844203,0.0,3.8023727,10.0027075,0.0,0.39612865,7.110538,5.9139814,9.417418,1.1036025,6.203904,3.894886,8.119845,5.109519,3.3841894,8.005494,5.6725726,0.0,6.2940755,4.868778,4.2577224,6.6717176,4.492687,7.3417053,7.612131,4.3111506,11.128286,6.2178073,4.0837793,2.711447
"Casper Nirvana C550.1255-BF00A-G-F i7-1255U 16 GB 1 TB SSD Iris Xe Graphics 15.6"" Full HD Notebook",Casper,Casper Nirvana,"https//www.akakce.com/laptop-notebook/en-ucuz-casper-nirvana-c550-1255-bf00a-g-f-i7-1255u-16-gb-1-tb-ssd-iris-xe-graphics-15-6-full-hd-notebook-fiyati,383917240.html",1 TB,Intel Core i7,12. Nesil,i7-1255U,10.0,3.50 GHz,Intel,Iris Xe Graphics,Paylaşımlı,6 GB,16 GB,3200 MHz,DDR4,Full HD,15.6 inç,1920x1080 px,144 Hz,IPS,Free Dos,1.8,45.60 Wh,26.899,5.647324,3.9532409,7.266752,0.0,5.1025224,6.362449,0.0,3.557455,7.5890923,3.7497478,2.4662416,4.1812987,8.048436,4.537948,12.135531,5.731846,6.953028,10.40119,4.9919353,0.0,5.74207,8.05882,8.900414,5.7328234,5.2676635,1.3522213,13.208359,4.049476,12.012214,9.227022,1.0092254,8.608568
"Casper Nirvana X600.1235-BV00P-G-F i5-1235U 16 GB 500 GB SSD Iris Xe Graphics 15.6"" Full HD Notebook",Casper,Casper Nirvana,"https//www.akakce.com/laptop-notebook/en-ucuz-casper-nirvana-x600-1235-bv00p-g-f-i5-1235u-16-gb-500-gb-ssd-iris-xe-graphics-15-6-full-hd-notebook-fiyati,437941713.html",500 GB,Intel Core i5,12. Nesil,i5-1235U,10.0,3.3 GHz,Intel,Iris Xe Graphics,Paylaşımlı,6 GB,16 GB,3200 MHz,DDR4,Full HD,15.6 inç,1920x1080 px,144 Hz,IPS,Windows 11 Home,1.6,38 Wh,19.449,11.316798,5.247343,15.080349,0.0,3.8195405,5.8241773,0.0,4.557848,10.4695215,2.571576,5.1346583,2.294992,7.2992206,4.912545,9.079778,7.0504417,6.325059,10.822299,4.5022135,0.0,6.2625914,10.801944,4.6126523,3.7140589,8.684627,1.6829896,11.352353,6.5235815,10.263014,7.1001396,1.0767494,2.710735
"Casper Nirvana Z100 Z100.1335-BV00X-B-Q i5-1335U 16 GB 500 GB SSD Iris Xe Graphics 14"" WQXGA Notebook",Casper,Casper Nirvana,"https//www.akakce.com/laptop-notebook/en-ucuz-casper-nirvana-z100-z100-1335-bv00x-b-q-i5-1335u-16-gb-500-gb-ssd-iris-xe-graphics-14-wqxga-notebook-fiyati,575910825.html",500 GB,Intel Core i5,13. Nesil,i5-1335U,10.0,3.40 GHz,Intel,Iris Xe Graphics,Paylaşımlı,6 GB,16 GB,5500 MHz,LPDDR5,WQXGA,14 inç,2560x1600 px,144 Hz,IPS,Free Dos,1.25,50 Wh,24.941,14.317316,8.188962,13.62951,0.0,6.1634846,6.5969534,0.0,0.13900138,5.4995146,9.301079,1.1765306,1.9565191,1.8558837,3.2104335,12.493039,4.5369697,8.908289,9.929713,1.9450454,0.0,3.5758176,8.570334,0.5143662,8.849215,4.828503,1.4405632,2.5688329,3.3489223,9.880612,4.8296256,1.3646877,1.8719537
"Asus Vivobook S14 Flip TP3402VA-LZ187W i5-1335U 8 GB 512 GB SSD Iris Xe Graphics 14"" WUXGA İkisi Bir Arada Notebook",Asus,Asus Vivobook,"https//www.akakce.com/laptop-notebook/en-ucuz-asus-vivobook-s-14-flip-tp3402va-lz187w-i5-1335u-8-gb-512-gb-ssd-iris-xe-graphics-14-wuxga-notebook-fiyati,793631515.html",512 GB,Intel Core i5,13. Nesil,i5-1335U,10.0,3.40 GHz,Intel,Iris Xe Graphics,Paylaşımlı,6 GB,8 GB,3200 MHz,DDR4,WUXGA,14 inç,1920x1200 px,144 Hz,IPS Level,Windows 11 Home,1.5,50 Wh,29.999,10.584926,3.5503964,11.843675,0.0,7.686836,12.806856,0.0,5.6361184,7.0034866,9.016191,7.727574,1.7310811,4.4751954,4.5997243,10.975305,7.5010476,5.1183276,7.5982056,7.2441106,3.379531,0.0,5.0064654,0.0,8.101023,6.7301855,6.075552,6.9080954,2.302709,6.9558754,2.6612709,2.072741,0.015251893
