"Urun_Ad",Marka,Seri,"Urun_URL",SSD,"Islemci_Turu","Islemci_Nesli","Islemci_Modeli","Islemci_Cekirdek_Sayisi","Islemci_Hizi","Ekran_Kart","Ekran_Karti_Modeli","Ekran_Karti_Tipi","Ekran_Karti_Hafizasi",RAM,"RAM_Frekans","Ram_Turu","Cozunurluk_Format","Ekran_Boyutu","Ekran_Cozunurlugu","Ekran_Yenileme_Hizi","Panel_Tipi","Isletim_Sistemi",Agirlik,"Pil_Gucu",Fiyat
"Dell Inspiron 3520 I35202010U-16 Intel Core I5 1235U 16GB 512GB SSD Ubuntu 15.6"" Fhd 120Hz I35202010U Taşınabilir Bilgisayar",Dell,"Dell Inspiron","https//www.akakce.com/laptop-notebook/en-ucuz-dell-inspiron-3520-i35202010u-16-intel-core-i5-1235u-16gb-512gb-ssd-ubuntu-15-6-fhd-120hz-i35202010u-tasinabilir-bilgisayar-fiyati,825766426.html","1 TB",,,,,,,,,"6 GB","16 GB","3200 MHz",DDR4,"Full HD","15.6 inç","1920x1080 px","144 Hz",IPS,"Free Dos",,"60 Wh","15.988"
"Hp 250 G10 9G1e6et14 İ7-1355U 32Gb 1Tbssd 15.6"" Fhd W11p Dizüstü Bilgisayar-Cnt015",Hp,"Hp 250","https//www.akakce.com/laptop-notebook/en-ucuz-hp-250-g10-9g1e6et14-i7-1355u-32gb-1tbssd-15-6-fhd-w11p-dizustu-bilgisayar-cnt015-fiyati,830212094.html","1 TB",,,,,,,,,"6 GB","16 GB","3200 MHz",DDR4,"Full HD","15.6 inç","1920x1080 px","144 Hz",IPS,"Free Dos",,"60 Wh","30.320"
"Asus Vivobook 16X K3605ZC-N1354W05 i5-12500H 24GB 512SSD RTX3050 16 FHD+ W11H Dizüstü Bilgisayar",Asus,"Asus Vivobook","https//www.akakce.com/laptop-notebook/en-ucuz-asus-vivobook-16x-k3605zc-n1354w05-i5-12500h-24gb-512ssd-rtx3050-16-fhd-w11h-dizustu-bilgisayar-fiyati,833822813.html","1 TB",,,,,,,,,"6 GB","16 GB","3200 MHz",DDR4,"Full HD","15.6 inç","1920x1080 px","144 Hz",IPS,"Free Dos",,"60 Wh","31.999"
"ASUS VivoBook Go 15 i3-N305 8GB 1TB SSD 15.6'' FHD Freedos Laptop E1504GA-NJ276 003",ASUS,"ASUS VivoBook","https//www.akakce.com/laptop-notebook/en-ucuz-asus-vivobook-go-15-i3-n305-8gb-1tb-ssd-15-6-fhd-freedos-laptop-e1504ga-nj276-003-fiyati,875566947.html","1 TB",,,,,,,,,"6 GB","16 GB","3200 MHz",DDR4,"Full HD","15.6 inç","1920x1080 px","144 Hz",IPS,"Free Dos",,"60 Wh","12.999"
"Lenovo Thinkpad P16V 21KX003XTX Ultra9 185H 32GB 1tbssd RTX3000 16"" Fhd+ W11P Dizüstü Iş Istasyonu",Lenovo,"Lenovo Thinkpad","https//www.akakce.com/laptop-notebook/en-ucuz-lenovo-thinkpad-p16v-21kx003xtx-ultra9-185h-32gb-1tbssd-rtx3000-16-fhd-w11p-dizustu-is-istasyonu-fiyati,876689096.html","1 TB",,,,,,,,,"6 GB","16 GB","3200 MHz",DDR4,"Full HD","15.6 inç","1920x1080 px","144 Hz",IPS,"Free Dos",,"60 Wh","117.799"
"Dell Latitude 7350 Ultra 7 164U 32GB 1tb W11P 13"" XCTOL735013EMEA_DET_VP Dokunmatik Taşınabilir Bilgisayar",Dell,"Dell Latitude","https//www.akakce.com/laptop-notebook/en-ucuz-dell-latitude-7350-ultra-7-164u-32gb-1tb-w11p-13-xctol735013emea-det-vp-dokunmatik-tasinabilir-bilgisayar-fiyati,897195417.html","1 TB",,,,,,,,,"6 GB","16 GB","3200 MHz",DDR4,"Full HD","15.6 inç","1920x1080 px","144 Hz",IPS,"Free Dos",,"60 Wh","123.003"
"Asus ZenBook Q415MA-U00TT Ultra5 125H 8GB 512SSD 14 FHD+ Touch W11H Dizüstü Bilgisayar",Asus,"Asus ZenBook","https//www.akakce.com/laptop-notebook/en-ucuz-asus-zenbook-q415ma-u00tt-ultra5-125h-8gb-512ssd-14-fhd-touch-w11h-dizustu-bilgisayar-fiyati,909923645.html","1 TB",,,,,,,,,"6 GB","16 GB","3200 MHz",DDR4,"Full HD","15.6 inç","1920x1080 px","144 Hz",IPS,"Free Dos",,"60 Wh","31.184"
"Asus Zenbook S14 UX5406SA-S14.U00TT02 Ultra7 256V 16GB 512SSD 14 3K OLED Touch W11H Dizüstü Bilgisayar-CNT003",Asus,"Asus Zenbook","https//www.akakce.com/laptop-notebook/en-ucuz-asus-zenbook-s14-ux5406sa-s14-u00tt02-ultra7-256v-16gb-512ssd-14-3k-oled-touch-w11h-dizustu-bilgisayar-cnt003-fiyati,909923652.html","1 TB",,,,,,,,,"6 GB","16 GB","3200 MHz",DDR4,"Full HD","15.6 inç","1920x1080 px","144 Hz",IPS,"Free Dos",,"60 Wh","60.665"
"Dell Latitude 9450 Ultra7-14-32G-1TBSSD-W11Pro XCTOL945014EMEA_2IN1_VP",Dell,"Dell Latitude","https//www.akakce.com/laptop-notebook/en-ucuz-dell-latitude-9450-ultra7-14-32g-1tbssd-w11pro-xctol945014emea-2in1-vp-fiyati,930390154.html","1 TB",,,,,,,,,"6 GB","16 GB","3200 MHz",DDR4,"Full HD","15.6 inç","1920x1080 px","144 Hz",IPS,"Free Dos",,"60 Wh","103.234"
"Samsung Galaxy Book4 Pro - 16"" Amoled 5.18 Ma 120Hz Dokunmatik Gaming Laptop - Intel Core Ultra 7 155H - Intel Arc - 16GB LPDDR5X Ram - 1tb Pcle 4 SSD - Win 11 Home - Ay Taşı Grisi",Samsung,"Samsung Galaxy","https//www.akakce.com/laptop-notebook/en-ucuz-samsung-galaxy-book4-pro-16-amoled-5-18-ma-120hz-dokunmatik-gaming-laptop-intel-core-ultra-7-155h-intel-arc-16gb-lpddr5x-ram-1tb-pcle-4-ssd-win-11-home-ay-tasi-grisi-fiyati,930500081.html","1 TB",,,,,,,,,"6 GB","16 GB","3200 MHz",DDR4,"Full HD","15.6 inç","1920x1080 px","144 Hz",IPS,"Free Dos",,"60 Wh","140.020"
